gencode_gene_id,gencode_gene_symbol,cell_line,half_life_h,half_life_log2,source,normalized_half_life
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.06185567010309,1.043943347587595,BRIC-seq,-1.2853677338335332
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.08333333333333,1.058893689053566,BRIC-seq,-1.2074314063200784
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
,,HeLa_TetOff,2.10526315789474,1.074000581443779,BRIC-seq,-1.0928620871524122
