gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
AFAP1-AS1,AFAP1-AS1,0.97528334928801,K562,Schofield2018_TimeLapseseq,ENSG00000272620.2,ENST00000608442.2,AFAP1-AS1,symbol_exact
AFDN,AFDN,2.70663488105012,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFF1,AFF1,0.799553009076274,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFF4,AFF4,0.504637900008295,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFG3L1P,AFG3L1P,0.693694354709814,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFG3L2,AFG3L2,4.28402342054681,K562,Schofield2018_TimeLapseseq,,,,unmapped
AFTPH,AFTPH,0.623322089371389,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGAP1,AGAP1,1.40431590888491,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGAP3,AGAP3,1.27101853683684,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGFG1,AGFG1,1.12242835898411,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGGF1,AGGF1,1.52277429644129,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGK,AGK,2.65245063023791,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGL,AGL,5.81766094730067,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGO1,AGO1,2.33864548457655,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGO2,AGO2,1.08142285225083,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGO3,AGO3,1.4250194405483,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGPAT1,AGPAT1,5.82030036699286,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGPAT3,AGPAT3,2.39902408549833,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGPAT4,AGPAT4,0.6060330900242,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGPAT5,AGPAT5,1.67324244158046,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGPS,AGPS,4.33996918618599,K562,Schofield2018_TimeLapseseq,,,,unmapped
AGRN,AGRN,2.93114866252865,K562,Schofield2018_TimeLapseseq,,,,unmapped
AHCTF1,AHCTF1,0.668815476665597,K562,Schofield2018_TimeLapseseq,,,,unmapped
AHCY,AHCY,3.91781259469372,K562,Schofield2018_TimeLapseseq,,,,unmapped
AHCYL1,AHCYL1,3.43563765745356,K562,Schofield2018_TimeLapseseq,,,,unmapped
AHDC1,AHDC1,0.37327557123827,K562,Schofield2018_TimeLapseseq,,,,unmapped
