gene_id,gene_symbol,half_life_h,cell_line,source
Ap2m1,Ap2m1,7.9305356476293,mESC,Herzog2017_SLAMseq
Ap2s1,Ap2s1,7.52417540529516,mESC,Herzog2017_SLAMseq
Ap3b1,Ap3b1,4.52510443889268,mESC,Herzog2017_SLAMseq
Ap3s1,Ap3s1,5.29601438804752,mESC,Herzog2017_SLAMseq
Ap4b1,Ap4b1,1.96512840789973,mESC,Herzog2017_SLAMseq
Ap5z1,Ap5z1,4.61772675473383,mESC,Herzog2017_SLAMseq
Apcdd1,Apcdd1,2.63460173791561,mESC,Herzog2017_SLAMseq
Apex1,Apex1,4.60720898502128,mESC,Herzog2017_SLAMseq
Aph1a,Aph1a,5.42546132592549,mESC,Herzog2017_SLAMseq
Apobec3,Apobec3,4.87179941647274,mESC,Herzog2017_SLAMseq
Apool,Apool,9.42395054730677,mESC,Herzog2017_SLAMseq
Araf,Araf,5.70513633970993,mESC,Herzog2017_SLAMseq
Arf2,Arf2,2.46108233290376,mESC,Herzog2017_SLAMseq
Arf4,Arf4,5.00035592355626,mESC,Herzog2017_SLAMseq
Arf5,Arf5,9.45289022543445,mESC,Herzog2017_SLAMseq
Arf6,Arf6,2.59141559587916,mESC,Herzog2017_SLAMseq
Arf6,Arf6,2.33750588852026,mESC,Herzog2017_SLAMseq
Arfgap1,Arfgap1,2.10262248478268,mESC,Herzog2017_SLAMseq
Arfgap2,Arfgap2,2.30137169827853,mESC,Herzog2017_SLAMseq
Arhgap1,Arhgap1,3.60301795899584,mESC,Herzog2017_SLAMseq
Arhgap23,Arhgap23,1.71985632359948,mESC,Herzog2017_SLAMseq
Arhgap32,Arhgap32,2.26221715339856,mESC,Herzog2017_SLAMseq
Arhgap5,Arhgap5,3.28424502689092,mESC,Herzog2017_SLAMseq
Arhgef1,Arhgef1,4.92154343946649,mESC,Herzog2017_SLAMseq
Arhgef18,Arhgef18,2.2186076734027,mESC,Herzog2017_SLAMseq
Arhgef2,Arhgef2,1.84738620583844,mESC,Herzog2017_SLAMseq
Arhgef7,Arhgef7,2.4421033059437,mESC,Herzog2017_SLAMseq
Arl1,Arl1,6.23530886469052,mESC,Herzog2017_SLAMseq
Arl14epl,Arl14epl,4.0858389963985,mESC,Herzog2017_SLAMseq
Arl2bp,Arl2bp,5.08259618725359,mESC,Herzog2017_SLAMseq
Arl5b,Arl5b,2.53228653851565,mESC,Herzog2017_SLAMseq
Arl6ip4,Arl6ip4,4.99113328359374,mESC,Herzog2017_SLAMseq
Arl6ip5,Arl6ip5,4.88443034234543,mESC,Herzog2017_SLAMseq
Arl6ip6,Arl6ip6,1.62661680249682,mESC,Herzog2017_SLAMseq
Arl8a,Arl8a,3.498818831783,mESC,Herzog2017_SLAMseq
Arl8b,Arl8b,3.6491406729619,mESC,Herzog2017_SLAMseq
Armc10,Armc10,3.8478556833732,mESC,Herzog2017_SLAMseq
Armc5,Armc5,1.21125660242329,mESC,Herzog2017_SLAMseq
Armcx1,Armcx1,3.82427121740603,mESC,Herzog2017_SLAMseq
Armcx5,Armcx5,2.92706304286902,mESC,Herzog2017_SLAMseq
Armt1,Armt1,2.61843909233378,mESC,Herzog2017_SLAMseq
Arnt,Arnt,3.79920830511765,mESC,Herzog2017_SLAMseq
Arntl,Arntl,2.76330874579364,mESC,Herzog2017_SLAMseq
Arpc1a,Arpc1a,7.28769650326036,mESC,Herzog2017_SLAMseq
Arpc1b,Arpc1b,7.01934977003268,mESC,Herzog2017_SLAMseq
Arpc2,Arpc2,4.20558993041667,mESC,Herzog2017_SLAMseq
Arpc3,Arpc3,11.5136216847644,mESC,Herzog2017_SLAMseq
Arpc4,Arpc4,4.40775315553476,mESC,Herzog2017_SLAMseq
Arpc5,Arpc5,4.93554937225809,mESC,Herzog2017_SLAMseq
Arpc5l,Arpc5l,3.79032662602443,mESC,Herzog2017_SLAMseq
Arpc5l,Arpc5l,4.43831709605289,mESC,Herzog2017_SLAMseq
Arpp19,Arpp19,6.08797816942066,mESC,Herzog2017_SLAMseq
Arrb2,Arrb2,3.3343598624502,mESC,Herzog2017_SLAMseq
Arrdc3,Arrdc3,1.0185748060645,mESC,Herzog2017_SLAMseq
Arv1,Arv1,0.73112175294621,mESC,Herzog2017_SLAMseq
Arxes1,Arxes1,3.41704691700198,mESC,Herzog2017_SLAMseq
Arxes1,Arxes1,4.4833822784034,mESC,Herzog2017_SLAMseq
Arxes2,Arxes2,3.57047805724332,mESC,Herzog2017_SLAMseq
Asb1,Asb1,3.79236143077137,mESC,Herzog2017_SLAMseq
Asf1a,Asf1a,4.34979141844917,mESC,Herzog2017_SLAMseq
Asf1b,Asf1b,2.27335782906203,mESC,Herzog2017_SLAMseq
Asxl1,Asxl1,3.34572741573633,mESC,Herzog2017_SLAMseq
Asxl1,Asxl1,2.32800820644204,mESC,Herzog2017_SLAMseq
Atad2b,Atad2b,2.24874683665522,mESC,Herzog2017_SLAMseq
Atf1,Atf1,3.54213431384824,mESC,Herzog2017_SLAMseq
Atf4,Atf4,2.07711864508093,mESC,Herzog2017_SLAMseq
Atf6b,Atf6b,4.49991858889148,mESC,Herzog2017_SLAMseq
Atf7ip,Atf7ip,1.28539515305512,mESC,Herzog2017_SLAMseq
Atf7ip,Atf7ip,2.20600831577033,mESC,Herzog2017_SLAMseq
Atg101,Atg101,2.66809403695097,mESC,Herzog2017_SLAMseq
Atg16l1,Atg16l1,2.04960196551212,mESC,Herzog2017_SLAMseq
Atg4b,Atg4b,5.94258150001057,mESC,Herzog2017_SLAMseq
Atg4b,Atg4b,3.11688700259866,mESC,Herzog2017_SLAMseq
Atg4d,Atg4d,3.17804445703233,mESC,Herzog2017_SLAMseq
Atg5,Atg5,4.33915262449356,mESC,Herzog2017_SLAMseq
Atic,Atic,6.16821489492414,mESC,Herzog2017_SLAMseq
Atmin,Atmin,2.43544878408321,mESC,Herzog2017_SLAMseq
Atmin,Atmin,2.53549699225607,mESC,Herzog2017_SLAMseq
Atp11b,Atp11b,4.29957504183858,mESC,Herzog2017_SLAMseq
Atp13a1,Atp13a1,2.03645081594226,mESC,Herzog2017_SLAMseq
Atp2b1,Atp2b1,3.17935233186527,mESC,Herzog2017_SLAMseq
Atp5a1,Atp5a1,11.3625364321292,mESC,Herzog2017_SLAMseq
Atp5a1,Atp5a1,11.0257939642236,mESC,Herzog2017_SLAMseq
Atp5b,Atp5b,12.2185541943989,mESC,Herzog2017_SLAMseq
Atp5d,Atp5d,9.27702109726524,mESC,Herzog2017_SLAMseq
Atp6ap1,Atp6ap1,4.55185632109385,mESC,Herzog2017_SLAMseq
Atp6ap2,Atp6ap2,5.40582785767487,mESC,Herzog2017_SLAMseq
Atp6v0e,Atp6v0e,9.56544372333936,mESC,Herzog2017_SLAMseq
Atp6v0e2,Atp6v0e2,3.44159516251054,mESC,Herzog2017_SLAMseq
Atp6v1b2,Atp6v1b2,5.21639051175269,mESC,Herzog2017_SLAMseq
Atp6v1c1,Atp6v1c1,4.18339824049245,mESC,Herzog2017_SLAMseq
Atp6v1f,Atp6v1f,7.12178030503545,mESC,Herzog2017_SLAMseq
Atp6v1g1,Atp6v1g1,4.12709903841417,mESC,Herzog2017_SLAMseq
Atp6v1h,Atp6v1h,3.28187747910671,mESC,Herzog2017_SLAMseq
