gene_id,gene_symbol,half_life_h,cell_line,source
AHCYL1,AHCYL1,3.43563765745356,K562,Schofield2018_TimeLapseseq
AHDC1,AHDC1,0.37327557123827,K562,Schofield2018_TimeLapseseq
AHI1,AHI1,2.0791332574052,K562,Schofield2018_TimeLapseseq
AHNAK,AHNAK,2.1843719131696,K562,Schofield2018_TimeLapseseq
AHSA1,AHSA1,3.31714649291709,K562,Schofield2018_TimeLapseseq
AIFM1,AIFM1,9.12638871946361,K562,Schofield2018_TimeLapseseq
AIG1,AIG1,1.71159055434634,K562,Schofield2018_TimeLapseseq
AIMP1,AIMP1,2.07347971391006,K562,Schofield2018_TimeLapseseq
AIMP2,AIMP2,3.21397990504985,K562,Schofield2018_TimeLapseseq
AK2,AK2,5.38247029259379,K562,Schofield2018_TimeLapseseq
AK4,AK4,1.92540554519079,K562,Schofield2018_TimeLapseseq
AKAP1,AKAP1,0.844507491321521,K562,Schofield2018_TimeLapseseq
AKAP10,AKAP10,0.382387382856751,K562,Schofield2018_TimeLapseseq
AKAP11,AKAP11,0.667096311219629,K562,Schofield2018_TimeLapseseq
AKAP17A,AKAP17A,0.575366197374051,K562,Schofield2018_TimeLapseseq
AKAP8,AKAP8,0.708673156412645,K562,Schofield2018_TimeLapseseq
AKAP8L,AKAP8L,1.32931679234212,K562,Schofield2018_TimeLapseseq
AKAP9,AKAP9,0.946266001250375,K562,Schofield2018_TimeLapseseq
AKIRIN1,AKIRIN1,0.755026967370788,K562,Schofield2018_TimeLapseseq
AKIRIN2,AKIRIN2,0.502290167577466,K562,Schofield2018_TimeLapseseq
AKT1,AKT1,5.13223120320362,K562,Schofield2018_TimeLapseseq
AKT2,AKT2,3.01472471035809,K562,Schofield2018_TimeLapseseq
ALAS1,ALAS1,0.904996682448623,K562,Schofield2018_TimeLapseseq
ALDH1A2,ALDH1A2,11.0179590423286,K562,Schofield2018_TimeLapseseq
ALDH1B1,ALDH1B1,1.64318801800283,K562,Schofield2018_TimeLapseseq
ALDH9A1,ALDH9A1,3.07870329328763,K562,Schofield2018_TimeLapseseq
ALDOA,ALDOA,6.9690579520966,K562,Schofield2018_TimeLapseseq
ALG3,ALG3,6.58731413926018,K562,Schofield2018_TimeLapseseq
ALG8,ALG8,2.75159263542695,K562,Schofield2018_TimeLapseseq
ALKBH2,ALKBH2,0.968162842224628,K562,Schofield2018_TimeLapseseq
ALKBH5,ALKBH5,1.97540507949454,K562,Schofield2018_TimeLapseseq
ALKBH8,ALKBH8,1.02418372611863,K562,Schofield2018_TimeLapseseq
ALMS1,ALMS1,1.72876474846984,K562,Schofield2018_TimeLapseseq
ALS2,ALS2,1.14971030505364,K562,Schofield2018_TimeLapseseq
ALYREF,ALYREF,5.89101237517439,K562,Schofield2018_TimeLapseseq
AMBRA1,AMBRA1,0.479586718665106,K562,Schofield2018_TimeLapseseq
AMD1,AMD1,0.622529372552881,K562,Schofield2018_TimeLapseseq
AMER1,AMER1,0.707504694242284,K562,Schofield2018_TimeLapseseq
AMFR,AMFR,4.90285537849995,K562,Schofield2018_TimeLapseseq
AMMECR1,AMMECR1,4.47121809101382,K562,Schofield2018_TimeLapseseq
AMMECR1L,AMMECR1L,0.364668475735546,K562,Schofield2018_TimeLapseseq
AMOTL1,AMOTL1,0.951253508942463,K562,Schofield2018_TimeLapseseq
AMPD2,AMPD2,2.2049632695086,K562,Schofield2018_TimeLapseseq
AMPD3,AMPD3,1.03516132923711,K562,Schofield2018_TimeLapseseq
ANAPC1,ANAPC1,3.38896215629012,K562,Schofield2018_TimeLapseseq
ANAPC10,ANAPC10,1.06731158395835,K562,Schofield2018_TimeLapseseq
ANAPC13,ANAPC13,1.58991458464098,K562,Schofield2018_TimeLapseseq
ANAPC5,ANAPC5,4.97501043519792,K562,Schofield2018_TimeLapseseq
ANGEL2,ANGEL2,0.82546431882801,K562,Schofield2018_TimeLapseseq
ANGPT1,ANGPT1,0.952166023910618,K562,Schofield2018_TimeLapseseq
ANK1,ANK1,1.94769229973058,K562,Schofield2018_TimeLapseseq
ANKFY1,ANKFY1,1.03486507781511,K562,Schofield2018_TimeLapseseq
ANKIB1,ANKIB1,0.789666112185318,K562,Schofield2018_TimeLapseseq
ANKLE2,ANKLE2,0.960732455023491,K562,Schofield2018_TimeLapseseq
ANKMY2,ANKMY2,2.60278253080493,K562,Schofield2018_TimeLapseseq
ANKRD10,ANKRD10,1.00646491324803,K562,Schofield2018_TimeLapseseq
ANKRD11,ANKRD11,0.67536707746041,K562,Schofield2018_TimeLapseseq
ANKRD12,ANKRD12,0.579676214602388,K562,Schofield2018_TimeLapseseq
ANKRD13C,ANKRD13C,0.785159373020642,K562,Schofield2018_TimeLapseseq
ANKRD17,ANKRD17,1.26682484879496,K562,Schofield2018_TimeLapseseq
ANKRD27,ANKRD27,0.989088858684317,K562,Schofield2018_TimeLapseseq
ANKRD28,ANKRD28,2.18837271021139,K562,Schofield2018_TimeLapseseq
ANKRD36,ANKRD36,0.737155294078176,K562,Schofield2018_TimeLapseseq
ANKRD36B,ANKRD36B,0.645901426887907,K562,Schofield2018_TimeLapseseq
ANKRD36C,ANKRD36C,0.977302911097394,K562,Schofield2018_TimeLapseseq
ANKRD40,ANKRD40,0.532380107990125,K562,Schofield2018_TimeLapseseq
ANKRD50,ANKRD50,0.284752195136065,K562,Schofield2018_TimeLapseseq
ANKRD52,ANKRD52,1.32808328389051,K562,Schofield2018_TimeLapseseq
ANKS1A,ANKS1A,0.86980275003014,K562,Schofield2018_TimeLapseseq
ANKS6,ANKS6,2.61769793987137,K562,Schofield2018_TimeLapseseq
ANLN,ANLN,0.695597602907562,K562,Schofield2018_TimeLapseseq
ANO10,ANO10,2.79873994307977,K562,Schofield2018_TimeLapseseq
ANO6,ANO6,0.862279101966179,K562,Schofield2018_TimeLapseseq
ANP32A,ANP32A,6.17887981562935,K562,Schofield2018_TimeLapseseq
ANP32B,ANP32B,5.7839725916433,K562,Schofield2018_TimeLapseseq
ANP32E,ANP32E,6.98532050604308,K562,Schofield2018_TimeLapseseq
ANTXR2,ANTXR2,1.13039257442708,K562,Schofield2018_TimeLapseseq
ANXA1,ANXA1,7.2042929706036,K562,Schofield2018_TimeLapseseq
ANXA11,ANXA11,3.61411575317306,K562,Schofield2018_TimeLapseseq
ANXA2,ANXA2,6.35322037540195,K562,Schofield2018_TimeLapseseq
ANXA7,ANXA7,5.00349331121822,K562,Schofield2018_TimeLapseseq
AP000705.7,AP000705.7,0.875207575383395,K562,Schofield2018_TimeLapseseq
AP1AR,AP1AR,0.715127215581488,K562,Schofield2018_TimeLapseseq
AP1B1,AP1B1,3.73430388651923,K562,Schofield2018_TimeLapseseq
AP1G1,AP1G1,1.15750529715974,K562,Schofield2018_TimeLapseseq
AP1M1,AP1M1,3.47493764452577,K562,Schofield2018_TimeLapseseq
AP2A1,AP2A1,4.62938661490441,K562,Schofield2018_TimeLapseseq
AP2A2,AP2A2,2.4097868652492,K562,Schofield2018_TimeLapseseq
AP2B1,AP2B1,6.16924808909373,K562,Schofield2018_TimeLapseseq
AP2M1,AP2M1,9.02987325141073,K562,Schofield2018_TimeLapseseq
AP3B1,AP3B1,3.25635207544702,K562,Schofield2018_TimeLapseseq
AP3D1,AP3D1,3.80447627914884,K562,Schofield2018_TimeLapseseq
AP3M1,AP3M1,2.9126621363818,K562,Schofield2018_TimeLapseseq
AP5M1,AP5M1,1.46410834685334,K562,Schofield2018_TimeLapseseq
APBA2,APBA2,1.69636317441909,K562,Schofield2018_TimeLapseseq
APC,APC,0.766992586091976,K562,Schofield2018_TimeLapseseq
APEH,APEH,3.54366304128029,K562,Schofield2018_TimeLapseseq
APEX1,APEX1,5.69245090398038,K562,Schofield2018_TimeLapseseq
APEX2,APEX2,0.928194763595239,K562,Schofield2018_TimeLapseseq
API5,API5,2.94076953166171,K562,Schofield2018_TimeLapseseq
APIP,APIP,2.72133781182689,K562,Schofield2018_TimeLapseseq
APLP2,APLP2,7.14853413195814,K562,Schofield2018_TimeLapseseq
APTX,APTX,1.81800918019907,K562,Schofield2018_TimeLapseseq
AQR,AQR,3.01467090011701,K562,Schofield2018_TimeLapseseq
ARAF,ARAF,3.04246547077506,K562,Schofield2018_TimeLapseseq
ARAP1,ARAP1,2.23231391814166,K562,Schofield2018_TimeLapseseq
ARCN1,ARCN1,2.5755604019185,K562,Schofield2018_TimeLapseseq
AREL1,AREL1,1.94110836771682,K562,Schofield2018_TimeLapseseq
ARF1,ARF1,4.20551970388908,K562,Schofield2018_TimeLapseseq
ARF6,ARF6,0.441440050255216,K562,Schofield2018_TimeLapseseq
ARFGAP1,ARFGAP1,1.69059425420114,K562,Schofield2018_TimeLapseseq
ARFGAP2,ARFGAP2,2.38253517177271,K562,Schofield2018_TimeLapseseq
ARFGEF1,ARFGEF1,2.03629416700979,K562,Schofield2018_TimeLapseseq
ARFGEF2,ARFGEF2,1.29869948008089,K562,Schofield2018_TimeLapseseq
ARFIP2,ARFIP2,2.13928503416547,K562,Schofield2018_TimeLapseseq
ARFRP1,ARFRP1,1.34155464637063,K562,Schofield2018_TimeLapseseq
ARGLU1,ARGLU1,0.900050949222611,K562,Schofield2018_TimeLapseseq
ARHGAP1,ARHGAP1,1.23260000743803,K562,Schofield2018_TimeLapseseq
ARHGAP11A,ARHGAP11A,0.796782880764618,K562,Schofield2018_TimeLapseseq
ARHGAP11B,ARHGAP11B,0.516379737958816,K562,Schofield2018_TimeLapseseq
ARHGAP12,ARHGAP12,0.927634157252347,K562,Schofield2018_TimeLapseseq
ARHGAP17,ARHGAP17,1.66973578526585,K562,Schofield2018_TimeLapseseq
ARHGAP18,ARHGAP18,1.85469397272989,K562,Schofield2018_TimeLapseseq
ARHGAP21,ARHGAP21,1.18639316976886,K562,Schofield2018_TimeLapseseq
ARHGAP22,ARHGAP22,1.13469961785043,K562,Schofield2018_TimeLapseseq
ARHGAP24,ARHGAP24,0.486282128897041,K562,Schofield2018_TimeLapseseq
ARHGAP35,ARHGAP35,0.887646994294449,K562,Schofield2018_TimeLapseseq
ARHGAP5,ARHGAP5,1.14501546867237,K562,Schofield2018_TimeLapseseq
ARHGAP6,ARHGAP6,1.53213592258879,K562,Schofield2018_TimeLapseseq
ARHGDIA,ARHGDIA,3.64873831020883,K562,Schofield2018_TimeLapseseq
ARHGEF1,ARHGEF1,2.30179148151017,K562,Schofield2018_TimeLapseseq
ARHGEF11,ARHGEF11,0.549322446258031,K562,Schofield2018_TimeLapseseq
ARHGEF12,ARHGEF12,4.63829897254471,K562,Schofield2018_TimeLapseseq
ARHGEF2,ARHGEF2,0.730765684393983,K562,Schofield2018_TimeLapseseq
ARHGEF7,ARHGEF7,0.644342761104371,K562,Schofield2018_TimeLapseseq
ARID1A,ARID1A,0.454716694379958,K562,Schofield2018_TimeLapseseq
ARID1B,ARID1B,1.25797351727196,K562,Schofield2018_TimeLapseseq
ARID2,ARID2,0.741146443350525,K562,Schofield2018_TimeLapseseq
ARID3A,ARID3A,1.54176802628156,K562,Schofield2018_TimeLapseseq
ARID3B,ARID3B,1.2153280146629,K562,Schofield2018_TimeLapseseq
ARID4B,ARID4B,0.517500315743421,K562,Schofield2018_TimeLapseseq
ARIH1,ARIH1,1.58628149488232,K562,Schofield2018_TimeLapseseq
ARIH2,ARIH2,3.48358691354941,K562,Schofield2018_TimeLapseseq
ARL13B,ARL13B,0.498573189319876,K562,Schofield2018_TimeLapseseq
ARL14EP,ARL14EP,0.410111477694618,K562,Schofield2018_TimeLapseseq
ARL15,ARL15,1.32717157001381,K562,Schofield2018_TimeLapseseq
ARL4A,ARL4A,0.27031055055817,K562,Schofield2018_TimeLapseseq
ARL5B,ARL5B,0.371539105318404,K562,Schofield2018_TimeLapseseq
ARL8B,ARL8B,2.69892654793692,K562,Schofield2018_TimeLapseseq
ARMC1,ARMC1,1.01920493995543,K562,Schofield2018_TimeLapseseq
ARMC6,ARMC6,2.30631698256566,K562,Schofield2018_TimeLapseseq
ARMC8,ARMC8,0.642541562236557,K562,Schofield2018_TimeLapseseq
ARNT,ARNT,2.53432542062242,K562,Schofield2018_TimeLapseseq
ARPC5L,ARPC5L,1.3071885396867,K562,Schofield2018_TimeLapseseq
ARPP19,ARPP19,1.39767039104937,K562,Schofield2018_TimeLapseseq
ARRB1,ARRB1,2.00503339303655,K562,Schofield2018_TimeLapseseq
ARRDC2,ARRDC2,0.5851155429644,K562,Schofield2018_TimeLapseseq
ARRDC3,ARRDC3,0.301484050913679,K562,Schofield2018_TimeLapseseq
ARVCF,ARVCF,1.59127061676786,K562,Schofield2018_TimeLapseseq
ASAP1,ASAP1,1.02850155765897,K562,Schofield2018_TimeLapseseq
ASB1,ASB1,0.807680789780598,K562,Schofield2018_TimeLapseseq
ASB7,ASB7,0.308897439139066,K562,Schofield2018_TimeLapseseq
ASB8,ASB8,0.724004682362283,K562,Schofield2018_TimeLapseseq
ASCC1,ASCC1,3.84066538440548,K562,Schofield2018_TimeLapseseq
ASCC2,ASCC2,2.77373172851194,K562,Schofield2018_TimeLapseseq
ASCC3,ASCC3,2.78014087380205,K562,Schofield2018_TimeLapseseq
ASF1A,ASF1A,1.04940250724987,K562,Schofield2018_TimeLapseseq
ASF1B,ASF1B,1.39304613786555,K562,Schofield2018_TimeLapseseq
ASH1L,ASH1L,0.619475125038891,K562,Schofield2018_TimeLapseseq
ASH2L,ASH2L,4.05985491380412,K562,Schofield2018_TimeLapseseq
ASIC4,ASIC4,0.85561705396734,K562,Schofield2018_TimeLapseseq
ASNA1,ASNA1,1.86511213761566,K562,Schofield2018_TimeLapseseq
ASNSD1,ASNSD1,1.02574996616562,K562,Schofield2018_TimeLapseseq
ASPH,ASPH,2.33366214551868,K562,Schofield2018_TimeLapseseq
ASPM,ASPM,2.70161705341246,K562,Schofield2018_TimeLapseseq
ASXL1,ASXL1,0.679998578265616,K562,Schofield2018_TimeLapseseq
ASXL2,ASXL2,0.438008653325444,K562,Schofield2018_TimeLapseseq
ATAD2,ATAD2,0.876224879321758,K562,Schofield2018_TimeLapseseq
ATAD2B,ATAD2B,1.17477860067159,K562,Schofield2018_TimeLapseseq
ATAD3A,ATAD3A,4.42634476733534,K562,Schofield2018_TimeLapseseq
ATAD3B,ATAD3B,1.95269956258493,K562,Schofield2018_TimeLapseseq
ATAD5,ATAD5,0.727727975912344,K562,Schofield2018_TimeLapseseq
ATF1,ATF1,0.69601218287609,K562,Schofield2018_TimeLapseseq
ATF2,ATF2,0.727905564369807,K562,Schofield2018_TimeLapseseq
ATF4,ATF4,1.32639348935401,K562,Schofield2018_TimeLapseseq
ATF6,ATF6,2.54183735857014,K562,Schofield2018_TimeLapseseq
ATF7IP,ATF7IP,0.496486001310387,K562,Schofield2018_TimeLapseseq
ATF7IP2,ATF7IP2,1.53988611385268,K562,Schofield2018_TimeLapseseq
