gene_id,gene_symbol,half_life_h,cell_line,source,gencode_gene_id,gencode_transcript_id,gencode_gene_symbol,mapping_method
Agps,Agps,2.12456956496459,mESC,Herzog2017_SLAMseq,,,,unmapped
Ahnak,Ahnak,4.14910012116182,mESC,Herzog2017_SLAMseq,,,,unmapped
Ahsa1,Ahsa1,4.67506884150525,mESC,Herzog2017_SLAMseq,,,,unmapped
AI597479,AI597479,1.90954635373175,mESC,Herzog2017_SLAMseq,,,,unmapped
AI837181,AI837181,1.0074919118394,mESC,Herzog2017_SLAMseq,,,,unmapped
Aida,Aida,5.35128098159087,mESC,Herzog2017_SLAMseq,,,,unmapped
Aim1l,Aim1l,4.92286306914074,mESC,Herzog2017_SLAMseq,,,,unmapped
Ak1,Ak1,9.70356469585723,mESC,Herzog2017_SLAMseq,,,,unmapped
Ak2,Ak2,5.5275879930667,mESC,Herzog2017_SLAMseq,,,,unmapped
Ak6,Ak6,3.52527213048995,mESC,Herzog2017_SLAMseq,,,,unmapped
Akap12,Akap12,3.80536410646433,mESC,Herzog2017_SLAMseq,,,,unmapped
Akap2,Akap2,3.1896638478312,mESC,Herzog2017_SLAMseq,,,,unmapped
Akirin2,Akirin2,2.38825784410291,mESC,Herzog2017_SLAMseq,,,,unmapped
Akr7a5,Akr7a5,7.26188869210416,mESC,Herzog2017_SLAMseq,,,,unmapped
Akt2,Akt2,3.22852859064605,mESC,Herzog2017_SLAMseq,,,,unmapped
Aldh4a1,Aldh4a1,5.00295659328651,mESC,Herzog2017_SLAMseq,,,,unmapped
Alg1,Alg1,3.05633933841719,mESC,Herzog2017_SLAMseq,,,,unmapped
Alg10b,Alg10b,2.96306568681343,mESC,Herzog2017_SLAMseq,,,,unmapped
Alg11,Alg11,3.01423880892923,mESC,Herzog2017_SLAMseq,,,,unmapped
Alg5,Alg5,3.6935371463917,mESC,Herzog2017_SLAMseq,,,,unmapped
Alg6,Alg6,3.03666933530919,mESC,Herzog2017_SLAMseq,,,,unmapped
Alg8,Alg8,2.81715520842793,mESC,Herzog2017_SLAMseq,,,,unmapped
Alkbh4,Alkbh4,1.70890910774693,mESC,Herzog2017_SLAMseq,,,,unmapped
Alkbh5,Alkbh5,3.47470393536408,mESC,Herzog2017_SLAMseq,,,,unmapped
